,random,top,topic
0,5,4,2
50,6,4,6
100,6,6,6
150,4,4,3
200,4,6,2
250,5,4,4
300,5,2,5
350,4,6,6
400,5,6,6
450,3,4,6
500,4,6,6
550,5,3,4
600,3,5,5
650,8,4,3
700,4,5,5
750,5,5,5
800,5,5,5
850,6,5,7
900,4,4,4
950,3,5,4
1000,7,7,2
1050,5,4,6
1100,4,5,3
1150,6,4,6
1200,4,4,6
1250,5,4,3
1300,6,5,3
1350,5,3,4
1400,4,7,7
1450,4,3,6
1500,6,2,2
1550,5,4,6
1600,5,4,5
1650,6,4,5
1700,2,6,6
1750,2,5,9
1800,5,4,6
1850,5,3,5
1900,5,5,5
1950,5,4,5
2000,7,6,4
2050,5,4,6
2100,7,4,5
2150,7,7,6
2200,5,2,3
2250,4,7,5
2300,3,4,5
2350,6,4,1
2400,4,4,3
2450,6,7,3
2500,6,5,6
2550,7,6,7
2600,6,6,8
2650,4,6,4
2700,3,4,6
2750,5,4,4
2800,5,3,6
2850,3,6,6
2900,2,5,4
2950,5,7,4
3000,6,5,3
3050,4,6,6
3100,4,4,6
3150,2,3,7
3200,5,5,4
3250,3,3,8
3300,4,6,5
3350,8,5,2
3400,6,3,1
3450,4,4,7
3500,4,5,2
3550,6,4,6
3600,5,4,6
3650,3,3,4
3700,4,4,5
3750,8,2,4
3800,6,5,6
3850,5,5,5
3900,7,6,7
3950,7,5,2
4000,7,5,7
4050,4,5,6
4100,6,4,4
4150,6,5,5
4200,5,5,5
4250,7,5,6
4300,7,5,7
4350,6,3,4
4400,7,1,5
4450,4,6,4
4500,6,6,5
4550,8,5,6
4600,4,4,4
4650,4,6,5
4700,6,6,5
4750,6,4,6
4800,5,4,4
4850,5,6,5
4900,7,6,3
4950,6,5,4
5000,5,4,5
5050,5,2,4
5100,5,6,7
5150,6,6,7
5200,6,6,4
5250,5,5,4
5300,7,4,3
5350,3,5,6
5400,5,5,4
5450,7,4,6
5500,2,3,4
5550,7,3,6
5600,3,3,3
5650,8,4,4
5700,3,5,6
5750,6,4,6
5800,3,4,3
5850,6,6,5
5900,3,4,5
5950,6,6,6
6000,6,3,4
6050,6,6,5
6100,4,5,9
6150,3,3,6
6200,7,4,5
6250,4,6,5
6300,3,6,6
6350,6,6,7
6400,8,2,4
6450,5,6,6
6500,4,5,3
6550,4,6,8
6600,8,5,4
6650,2,3,5
6700,5,3,3
6750,7,3,4
6800,4,7,8
6850,4,8,4
6900,3,5,5
6950,5,4,6
7000,5,6,2
7050,5,4,6
7100,7,5,5
7150,5,5,4
7200,3,6,3
7250,3,4,6
7300,5,5,7
7350,4,4,6
7400,7,4,3
7450,5,5,3
7500,3,3,3
7550,6,5,6
7600,3,3,6
7650,5,6,8
7700,4,3,4
7750,8,2,7
7800,2,4,5
7850,3,4,7
7900,6,3,7
7950,5,2,4
8000,8,5,5
8050,3,4,5
8100,5,7,3
8150,6,3,7
8200,3,8,4
8250,6,4,6
8300,6,6,6
8350,6,3,6
8400,1,7,5
8450,6,5,6
8500,6,5,9
8550,6,7,6
8600,5,7,5
8650,4,5,6
8700,6,4,2
8750,4,5,3
8800,5,4,5
8850,6,4,5
8900,8,5,4
8950,5,4,4
9000,6,6,5
9050,2,5,4
9100,4,5,6
9150,6,5,5
9200,4,4,5
9250,7,8,3
9300,8,8,9
9350,3,6,5
9400,5,6,5
9450,4,6,6
9500,4,5,6
9550,6,8,7
9600,7,4,7
9650,4,4,3
9700,7,4,3
9750,6,4,5
9800,8,3,6
9850,5,4,2
9900,5,4,5
9950,6,4,4
10000,7,3,4
10050,3,6,7
10100,6,5,5
10150,5,4,5
10200,3,4,6
10250,7,5,9
10300,8,6,8
10350,5,4,6
10400,5,4,2
10450,6,4,7
10500,4,7,6
10550,5,5,7
10600,5,4,4
10650,4,4,5
10700,9,4,6
10750,4,7,5
10800,4,7,5
10850,3,6,6
10900,4,3,8
10950,6,5,4
11000,5,8,6
11050,7,3,6
11100,4,8,7
11150,5,3,2
11200,3,5,4
11250,7,6,7
11300,4,5,5
11350,5,5,6
11400,4,6,5
11450,4,7,7
11500,2,4,7
11550,2,7,4
11600,6,7,4
11650,3,4,6
11700,3,4,3
11750,4,4,5
11800,4,3,5
11850,4,6,8
11900,5,6,3
11950,5,4,3
12000,7,4,5
12050,7,5,3
12100,4,6,4
12150,6,4,6
12200,6,5,3
12250,8,6,5
12300,4,7,2
12350,8,5,8
12400,4,5,6
12450,6,5,5
12500,3,5,5
12550,7,5,6
12600,6,4,5
12650,5,3,5
12700,4,6,6
12750,7,3,3
12800,7,8,7
12850,4,5,4
12900,3,2,3
12950,5,3,3
13000,6,8,7
13050,3,7,7
13100,6,5,5
13150,4,3,3
13200,5,6,6
13250,6,5,5
13300,5,8,3
13350,5,3,6
13400,5,4,5
13450,6,5,8
13500,6,5,7
13550,4,7,5
13600,4,6,6
13650,6,5,6
13700,8,4,6
13750,5,4,5
13800,5,4,5
13850,6,3,4
13900,5,4,4
13950,4,7,5
14000,3,6,6
14050,6,8,6
14100,6,6,4
14150,5,9,6
14200,5,7,2
14250,8,2,5
14300,4,4,4
14350,4,6,6
14400,6,4,6
14450,9,4,2
14500,5,5,5
14550,5,7,4
14600,6,4,5
14650,4,6,5
14700,5,7,6
14750,7,3,5
14800,5,3,6
14850,5,6,4
14900,6,3,4
14950,5,6,4
15000,5,5,6
15050,4,6,4
15100,5,7,1
15150,5,7,5
15200,6,5,4
15250,5,3,5
15300,5,7,5
15350,5,6,3
15400,8,8,5
15450,5,7,3
15500,7,4,5
15550,7,4,6
15600,5,5,7
15650,4,4,3
15700,5,7,5
15750,4,4,4
15800,8,2,6
15850,5,5,1
15900,5,4,4
15950,3,4,2
16000,7,2,9
16050,6,3,6
16100,7,4,5
16150,5,4,3
16200,5,7,5
16250,8,4,4
16300,5,7,4
16350,3,3,8
16400,5,3,7
16450,2,5,4
16500,4,6,4
16550,5,5,4
16600,3,6,6
16650,2,2,4
16700,3,6,4
16750,5,3,6
16800,2,6,6
16850,7,5,8
16900,4,7,2
16950,6,3,9
17000,6,8,4
17050,7,3,4
17100,3,5,4
17150,4,4,6
17200,6,6,5
17250,6,4,5
17300,5,8,3
17350,5,3,3
17400,6,6,5
17450,8,4,3
17500,5,6,5
17550,4,4,4
17600,7,5,7
17650,1,1,6
17700,5,4,4
17750,4,5,4
17800,2,5,1
17850,5,6,3
17900,3,5,6
17950,6,6,3
18000,4,4,5
18050,3,4,3
18100,5,3,7
18150,6,6,4
18200,5,2,5
18250,6,4,5
18300,6,6,5
18350,5,5,4
18400,6,7,5
18450,6,6,5
18500,5,4,7
18550,6,6,5
18600,6,6,2
18650,6,7,4
18700,7,4,5
18750,5,5,4
18800,6,6,5
18850,2,5,2
18900,4,5,5
18950,5,2,3
19000,5,4,5
19050,7,6,6
19100,4,5,6
19150,6,5,3
19200,3,5,5
19250,5,4,5
19300,7,4,6
19350,4,6,5
19400,5,3,4
19450,6,4,4
19500,5,3,7
19550,6,3,3
19600,6,4,4
19650,6,4,6
19700,6,3,5
19750,5,5,7
19800,6,4,2
19850,5,6,3
19900,4,8,7
19950,6,5,5
20000,4,4,4
20050,2,5,5
20100,4,5,2
20150,5,6,5
20200,6,3,4
20250,5,4,9
20300,6,7,4
20350,2,5,3
20400,4,5,5
20450,6,5,4
20500,4,5,2
20550,5,6,3
20600,6,4,5
20650,5,5,4
20700,7,5,5
20750,2,4,5
20800,5,4,8
20850,5,5,7
20900,6,8,4
20950,5,6,3
21000,4,8,4
21050,7,4,4
21100,7,3,6
21150,6,4,6
21200,5,4,3
21250,5,6,5
21300,5,3,4
21350,3,7,2
21400,4,5,3
21450,5,4,7
21500,4,2,3
21550,8,2,5
21600,4,7,6
21650,4,6,5
21700,5,2,4
21750,5,4,3
21800,4,3,7
21850,4,3,6
21900,8,3,8
21950,9,7,8
22000,4,6,6
22050,2,4,4
22100,3,5,5
22150,7,4,6
22200,6,3,5
22250,7,5,4
22300,3,7,6
22350,6,6,4
22400,2,5,6
22450,6,5,6
22500,6,4,3
22550,5,3,3
22600,4,3,6
22650,6,4,6
22700,7,5,6
22750,9,7,6
22800,5,7,5
22850,8,3,4
22900,6,7,7
22950,3,7,4
23000,6,3,7
23050,4,4,3
23100,8,4,5
23150,6,5,3
23200,5,6,7
23250,8,8,4
23300,5,5,5
23350,5,8,4
23400,4,8,6
23450,7,6,4
23500,6,5,6
