,random,top,topic
7,7,10,10
57,6,10,10
107,7,10,10
157,7,10,10
207,8,10,10
257,9,10,10
307,8,10,10
357,8,10,10
407,9,10,10
457,8,10,10
507,6,10,10
557,7,10,10
607,8,10,10
657,9,10,10
707,9,10,10
757,6,10,10
807,8,10,10
857,7,10,10
907,6,10,10
957,8,10,10
1007,8,10,10
1057,6,10,10
1107,7,10,10
1157,7,10,10
1207,7,10,10
1257,9,10,10
1307,7,10,10
1357,8,10,10
1407,7,10,10
1457,8,10,10
1507,7,10,10
1557,7,10,10
1607,8,10,10
1657,8,10,10
1707,7,10,10
1757,6,10,10
1807,9,10,10
1857,7,10,10
1907,8,10,10
1957,8,10,10
2007,8,10,10
2057,8,10,10
2107,8,10,10
2157,6,10,10
2207,7,10,10
2257,8,10,10
2307,8,10,10
2357,8,10,10
2407,8,10,10
2457,8,10,10
2507,7,10,10
2557,8,10,10
2607,6,10,10
2657,9,10,10
2707,9,10,10
2757,7,10,10
2807,10,10,10
2857,8,10,10
2907,8,10,10
2957,7,10,10
3007,7,10,10
3057,8,10,10
3107,7,10,10
3157,8,10,10
3207,7,10,10
3257,8,10,10
3307,8,10,10
3357,7,10,10
3407,7,10,10
3457,7,10,10
3507,8,10,10
3557,8,10,10
3607,8,10,10
3657,8,10,10
3707,7,10,10
3757,7,10,10
3807,7,10,10
3857,7,10,10
3907,7,10,10
3957,7,10,10
4007,8,10,10
4057,7,10,10
4107,8,10,10
4157,7,10,10
4207,8,10,10
4257,5,10,10
4307,7,10,10
4357,7,10,10
4407,9,10,10
4457,7,10,10
4507,9,10,10
4557,7,10,10
4607,9,10,10
4657,10,10,10
4707,8,10,10
4757,8,10,10
4807,8,10,10
4857,7,10,10
4907,8,10,10
4957,7,10,10
5007,8,10,10
5057,9,10,10
5107,7,10,10
5157,8,10,10
5207,8,10,10
5257,8,10,10
5307,8,10,10
5357,9,10,10
5407,7,10,10
5457,9,10,10
5507,6,10,10
5557,7,10,10
5607,7,10,10
5657,7,10,10
5707,7,10,10
5757,9,10,10
5807,7,10,10
5857,7,10,10
5907,7,10,10
5957,6,10,10
6007,8,10,10
6057,7,10,10
6107,7,10,10
6157,7,10,10
6207,6,10,10
6257,7,10,10
6307,8,10,10
6357,7,10,10
6407,8,10,10
6457,7,10,10
6507,7,10,10
6557,8,10,10
6607,8,10,10
6657,7,10,10
6707,7,10,10
6757,7,10,10
6807,8,10,10
6857,8,10,10
6907,7,10,10
6957,7,10,10
7007,8,10,10
7057,7,10,10
7107,8,10,10
7157,7,10,10
7207,7,10,10
7257,6,10,10
7307,8,10,10
7357,8,10,10
7407,7,10,10
7457,7,10,10
7507,7,10,10
7557,5,10,10
7607,6,10,10
7657,7,10,10
7707,7,10,10
7757,7,10,10
7807,7,10,10
7857,8,10,10
7907,7,10,10
7957,8,10,10
8007,8,10,10
8057,7,10,10
8107,7,10,10
8157,6,10,10
8207,7,10,10
8257,8,10,10
8307,7,10,10
8357,7,10,10
8407,8,10,10
8457,9,10,10
8507,7,10,10
8557,8,10,10
8607,6,10,10
8657,7,10,10
8707,8,10,10
8757,6,10,10
8807,7,10,10
8857,7,10,10
8907,8,10,10
8957,9,10,10
9007,6,10,10
9057,8,10,10
9107,10,10,10
9157,6,10,10
9207,8,10,10
9257,7,10,10
9307,9,10,10
9357,6,10,10
9407,8,10,10
9457,8,10,10
9507,7,10,10
9557,7,10,10
9607,6,10,10
9657,8,10,10
9707,7,10,10
9757,8,10,10
9807,9,10,10
9857,7,10,10
9907,7,10,10
9957,7,10,10
10007,7,10,10
10057,7,10,10
10107,7,10,10
10157,7,10,10
10207,8,10,10
10257,7,10,10
10307,8,10,10
10357,8,10,10
10407,8,10,10
10457,8,10,10
10507,9,10,10
10557,6,10,10
10607,8,10,10
10657,7,10,10
10707,9,10,10
10757,9,10,10
10807,8,10,10
10857,7,10,10
10907,6,10,10
10957,10,10,10
11007,7,10,10
11057,10,10,10
11107,7,10,10
11157,7,10,10
11207,8,10,10
11257,8,10,10
11307,7,10,10
11357,7,10,10
11407,8,10,10
11457,7,10,10
11507,8,10,10
11557,7,10,10
11607,9,10,10
11657,8,10,10
11707,8,10,10
11757,6,10,10
11807,8,10,10
11857,9,10,10
11907,6,10,10
11957,7,10,10
12007,7,10,10
12057,6,10,10
12107,8,10,10
12157,6,10,10
12207,7,10,10
12257,8,10,10
12307,7,10,10
12357,7,10,10
12407,6,10,10
12457,7,10,10
12507,9,10,10
12557,8,10,10
12607,9,10,10
12657,6,10,10
12707,8,10,10
12757,9,10,10
12807,9,10,10
12857,7,10,10
12907,8,10,10
12957,8,10,10
13007,7,10,10
13057,7,10,10
13107,6,10,10
13157,7,10,10
13207,8,10,10
13257,6,10,10
13307,8,10,10
13357,8,10,10
13407,8,10,10
13457,6,10,10
13507,8,10,10
13557,9,10,10
13607,8,10,10
13657,7,10,10
13707,9,10,10
13757,7,10,10
13807,8,10,10
13857,7,10,10
13907,8,10,10
13957,8,10,10
14007,8,10,10
14057,6,10,10
14107,7,10,10
14157,8,10,10
14207,9,10,10
14257,8,10,10
14307,9,10,10
14357,8,10,10
14407,7,10,10
14457,7,10,10
14507,7,10,10
14557,8,10,10
14607,7,10,10
14657,8,10,10
14707,9,10,10
14757,8,10,10
14807,7,10,10
14857,7,10,10
14907,6,10,10
14957,7,10,10
15007,9,10,10
15057,7,10,10
15107,7,10,10
15157,8,10,10
15207,8,10,10
15257,6,10,10
15307,8,10,10
15357,8,10,10
15407,7,10,10
15457,8,10,10
15507,8,10,10
15557,7,10,10
15607,8,10,10
15657,7,10,10
15707,7,10,10
15757,7,10,10
15807,7,10,10
15857,8,10,10
15907,8,10,10
15957,8,10,10
16007,8,10,10
16057,8,10,10
16107,8,10,10
16157,7,10,10
16207,7,10,10
16257,7,10,10
16307,8,10,10
16357,6,10,10
16407,7,10,10
16457,8,10,10
16507,7,10,10
16557,10,10,10
16607,7,10,10
16657,8,10,10
16707,9,10,10
16757,8,10,10
16807,7,10,10
16857,7,10,10
16907,7,10,10
16957,8,10,10
17007,7,10,10
17057,8,10,10
17107,8,10,10
17157,7,10,10
17207,8,10,10
17257,7,10,10
17307,8,10,10
17357,7,10,10
17407,7,10,10
17457,8,10,10
17507,9,10,10
17557,9,10,10
17607,7,10,10
17657,7,10,10
17707,7,10,10
17757,8,10,10
17807,8,10,10
17857,7,10,10
17907,7,10,10
17957,7,10,10
18007,5,10,10
18057,7,10,10
18107,8,10,10
18157,8,10,10
18207,8,10,10
18257,8,10,10
18307,8,10,10
18357,7,10,10
18407,8,10,10
18457,8,10,10
18507,8,10,10
18557,8,10,10
18607,8,10,10
18657,8,10,10
18707,7,10,10
18757,7,10,10
18807,6,10,10
18857,8,10,10
18907,7,10,10
18957,7,10,10
19007,8,10,10
19057,7,10,10
19107,8,10,10
19157,8,10,10
19207,8,10,10
19257,9,10,10
19307,7,10,10
19357,7,10,10
19407,7,10,10
19457,7,10,10
19507,8,10,10
19557,9,10,10
19607,7,10,10
19657,8,10,10
19707,7,10,10
19757,6,10,10
19807,7,10,10
19857,8,10,10
19907,8,10,10
19957,7,10,10
20007,8,10,10
20057,8,10,10
20107,7,10,10
20157,10,10,10
20207,9,10,10
20257,6,10,10
20307,8,10,10
20357,8,10,10
20407,8,10,10
20457,7,10,10
20507,8,10,10
20557,7,10,10
20607,8,10,10
20657,6,10,10
20707,7,10,10
20757,8,10,10
20807,8,10,10
20857,7,10,10
20907,7,10,10
20957,8,10,10
21007,8,10,10
21057,6,10,10
21107,9,10,10
21157,6,10,10
21207,9,10,10
21257,8,10,10
21307,7,10,10
21357,8,10,10
21407,8,10,10
21457,9,10,10
21507,8,10,10
21557,7,10,10
21607,7,10,10
21657,7,10,10
21707,8,10,10
21757,8,10,10
21807,8,10,10
21857,9,10,10
21907,6,10,10
21957,9,10,10
22007,8,10,10
22057,7,10,10
22107,9,10,10
22157,6,10,10
22207,8,10,10
22257,7,10,10
22307,8,10,10
22357,7,10,10
22407,6,10,10
22457,8,10,10
22507,6,10,10
22557,8,10,10
22607,7,10,10
22657,9,10,10
22707,9,10,10
22757,9,10,10
22807,7,10,10
22857,8,10,10
22907,8,10,10
22957,9,10,10
23007,7,10,10
23057,8,10,10
23107,7,10,10
23157,9,10,10
23207,7,10,10
23257,7,10,10
23307,7,10,10
